GlobalEventID	MentionIdentifier
712016618	http://www.channelnewsasia.com/news/health/calls-for-stronger-partnership-between-public-private-healthcare-9464806
717642931	http://www.channelnewsasia.com/news/world/swiss-president-wants-a-vote-to-clarify-country-s-eu-position-9524074
717642932	http://www.channelnewsasia.com/news/world/swiss-president-wants-a-vote-to-clarify-country-s-eu-position-9524074
723244111	http://www.straitstimes.com/asia/east-asia/startups-in-chinas-rural-zones-to-get-more-support
719439994	http://www.channelnewsasia.com/news/singapore/s-dhanabalan-goh-joon-seng-reappointed-as-members-of-the-council-9828648
719440012	http://www.channelnewsasia.com/news/singapore/s-dhanabalan-goh-joon-seng-reappointed-as-members-of-the-council-9828648
719146971	http://www.channelnewsasia.com/news/health/medical-jargon-may-cloud-doctor-patient-communication-9825262
719146974	http://www.channelnewsasia.com/news/health/medical-jargon-may-cloud-doctor-patient-communication-9825262
714579191	http://www.channelnewsasia.com/news/world/tight-race-as-south-africa-s-anc-prepares-to-elect-zuma-successor-9493290
714581181	http://www.channelnewsasia.com/news/world/tight-race-as-south-africa-s-anc-prepares-to-elect-zuma-successor-9493290
717482346	http://www.channelnewsasia.com/news/world/egypt-to-launch-building-project-in-sinai---sisi-9522908
717482658	http://www.channelnewsasia.com/news/world/egypt-to-launch-building-project-in-sinai---sisi-9522908
717487574	http://www.channelnewsasia.com/news/world/egypt-to-launch-building-project-in-sinai---sisi-9522908
717483437	http://www.channelnewsasia.com/news/world/egypt-to-launch-building-project-in-sinai---sisi-9522908
717483438	http://www.channelnewsasia.com/news/world/egypt-to-launch-building-project-in-sinai---sisi-9522908
722689944	http://www.asiaone.com/world/14-injured-suspected-gas-explosion-belgiums-antwerp
722689945	http://www.asiaone.com/world/14-injured-suspected-gas-explosion-belgiums-antwerp
722690144	http://www.asiaone.com/world/14-injured-suspected-gas-explosion-belgiums-antwerp
722690145	http://www.asiaone.com/world/14-injured-suspected-gas-explosion-belgiums-antwerp
717645181	http://www.channelnewsasia.com/news/world/mh17-families-voice-concerns-over-new-discovery-of-remains-9524078
717646908	http://www.channelnewsasia.com/news/world/mh17-families-voice-concerns-over-new-discovery-of-remains-9524078
717551725	http://www.channelnewsasia.com/news/world/mh17-families-voice-concerns-over-new-discovery-of-remains-9524078
717645226	http://www.channelnewsasia.com/news/world/mh17-families-voice-concerns-over-new-discovery-of-remains-9524078
717649074	http://www.channelnewsasia.com/news/world/mh17-families-voice-concerns-over-new-discovery-of-remains-9524078
717645382	http://www.channelnewsasia.com/news/world/mh17-families-voice-concerns-over-new-discovery-of-remains-9524078
717647021	http://www.channelnewsasia.com/news/world/mh17-families-voice-concerns-over-new-discovery-of-remains-9524078
711512475	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711519098	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711492511	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711410604	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711456452	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711512475	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711492843	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711492844	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711492857	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711492905	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711493552	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711493553	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711520488	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711493554	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711493555	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711493556	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
711493661	http://www.channelnewsasia.com/news/asiapacific/squeezed-by-sanctions-north-korea-firm-hawks-cancer-cures-9459098
718152889	http://www.channelnewsasia.com/news/world/russia-s-putin-registers-re-election-bid-9813936
718153517	http://www.channelnewsasia.com/news/world/russia-s-putin-registers-re-election-bid-9813936
718153712	http://www.channelnewsasia.com/news/world/russia-s-putin-registers-re-election-bid-9813936
718153713	http://www.channelnewsasia.com/news/world/russia-s-putin-registers-re-election-bid-9813936
719929416	http://www.asiaone.com/world/australian-warship-makes-second-big-drugs-bust-arabian-sea
721099067	http://www.straitstimes.com/world/europe/france-to-cut-highway-speed-limits-as-road-deaths-rise
716563522	http://www.channelnewsasia.com/news/world/germany-s-conservatives--spd-start-talks-jan--7-on-another--grand-coalition--9514478
716701742	http://www.channelnewsasia.com/news/world/germany-s-conservatives--spd-start-talks-jan--7-on-another--grand-coalition--9514478
716563522	http://www.channelnewsasia.com/news/world/germany-s-conservatives--spd-start-talks-jan--7-on-another--grand-coalition--9514478
716718774	http://www.channelnewsasia.com/news/world/germany-s-conservatives--spd-start-talks-jan--7-on-another--grand-coalition--9514478
716701742	http://www.channelnewsasia.com/news/world/germany-s-conservatives--spd-start-talks-jan--7-on-another--grand-coalition--9514478
716718955	http://www.channelnewsasia.com/news/world/germany-s-conservatives--spd-start-talks-jan--7-on-another--grand-coalition--9514478
716877055	http://www.channelnewsasia.com/news/singapore/head-of-defunct-sunshine-empire-firm-charged-in-malaysia-9515508
716877069	http://www.channelnewsasia.com/news/singapore/head-of-defunct-sunshine-empire-firm-charged-in-malaysia-9515508
716877229	http://www.channelnewsasia.com/news/singapore/head-of-defunct-sunshine-empire-firm-charged-in-malaysia-9515508
716892400	http://www.channelnewsasia.com/news/singapore/head-of-defunct-sunshine-empire-firm-charged-in-malaysia-9515508
716892401	http://www.channelnewsasia.com/news/singapore/head-of-defunct-sunshine-empire-firm-charged-in-malaysia-9515508
716892403	http://www.channelnewsasia.com/news/singapore/head-of-defunct-sunshine-empire-firm-charged-in-malaysia-9515508
716878013	http://www.channelnewsasia.com/news/singapore/head-of-defunct-sunshine-empire-firm-charged-in-malaysia-9515508
716878015	http://www.channelnewsasia.com/news/singapore/head-of-defunct-sunshine-empire-firm-charged-in-malaysia-9515508
721323198	http://www.straitstimes.com/asia/se-asia/zodiac-dog-pig-go-missing-for-chinese-new-year
721144889	http://www.straitstimes.com/asia/se-asia/zodiac-dog-pig-go-missing-for-chinese-new-year
718352895	http://www.channelnewsasia.com/news/asiapacific/india-aims-for-law-that-could-jail-muslim-men-who-instantly-9816388
718354019	http://www.channelnewsasia.com/news/asiapacific/india-aims-for-law-that-could-jail-muslim-men-who-instantly-9816388
720536570	http://www.straitstimes.com/asia/se-asia/vietnam-starts-high-profile-trial-over-oil-firm-losses
720536571	http://www.straitstimes.com/asia/se-asia/vietnam-starts-high-profile-trial-over-oil-firm-losses
